Feature,Importance
TimeBlock_Encoded,0.14701155
CRSArr_hour,0.12577236
IsSummer,0.11012935
IsLateNight,0.089899555
Month,0.048302636
Carrier_DelayRate,0.046940856
IsRushHour,0.03584535
IsHolidaySeason,0.033110227
Origin_DelayRate,0.032405186
Day,0.030863231
Dest_DelayRate,0.030719213
Carrier_AvgDelay,0.028651929
UniqueCarrier_Encoded,0.025451396
DayOfWeek,0.025225462
IsLongFlight,0.024811221
Dest_AvgDelay,0.023303643
Origin_AvgDelay,0.020056931
IsPopularRoute,0.019224266
Distance,0.014738973
IsWeekend,0.013997795
IsShortFlight,0.013930532
Route_Frequency,0.013496639
Avg_Speed,0.012929172
Origin_Encoded,0.012411466
Dest_Encoded,0.011354206
CRSElapsedTime,0.0094168885
Year,0.0
